theme,count_x,indicator
WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS,16137,
TAX_FNCACT_DIRECTOR,16132,
CRISISLEX_O01_WEATHER,16087,
TAX_FNCACT_CHIEF,16000,
TAX_FNCACT_AUTHORITIES,15994,
EPU_POLICY_AUTHORITIES,15974,
AGRICULTURE,15891,
TOURISM,15881,
CRISISLEX_T01_CAUTION_ADVICE,15871,
WB_1331_HEALTH_TECHNOLOGIES,15204,
TRIAL,15175,
WB_1350_PHARMACEUTICALS,15158,
MARITIME_INCIDENT,14800,
ALLIANCE,14727,
WB_2456_DRUGS_AND_NARCOTICS,14623,Drugs
TAX_FNCACT_COMMUNIST,14416,
WB_435_AGRICULTURE_AND_FOOD_SECURITY,14285,
MOVEMENT_GENERAL,14251,
TAX_ETHNICITY_INDIAN,14203,
WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,13754,
SOC_POINTSOFINTEREST_PRISON,13695,
TAX_ETHNICITY_JAPANESE,13603,
WB_2024_ANTI_CORRUPTION_AUTHORITIES,13574,Corruption
TAX_WORLDLANGUAGES_JAPANESE,13565,
TAX_FNCACT_MAN,13355,
TAX_FNCACT_CANDIDATE,13173,
TAX_ETHNICITY_ROHINGYA,13169,
WB_635_PUBLIC_HEALTH,12823,
TAX_ETHNICITY_RAKHINE,12409,
WB_590_ECOSYSTEMS,12405,
TAX_WORLDLANGUAGES_RAKHINE,12351,
DRUG_TRADE,12346,
EPU_CATS_MIGRATION_FEAR_MIGRATION,12270,
SELF_IDENTIFIED_HUMAN_RIGHTS,12253,HumanRights
WB_1406_DISEASES,12002,
TAX_ETHNICITY_AMERICAN,11833,
WB_134_SOCIAL_DEVELOPMENT,11746,
TAX_FNCACT_CHILD,11412,
TAX_FNCACT_DEPUTY,11381,
TAX_FNCACT_FATHER,11376,
WB_2025_INVESTIGATION,11352,
WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS,11339,
SEIZE,11313,
WB_405_BUSINESS_CLIMATE,11189,
WB_2530_BUSINESS_ENVIRONMENT,11147,
WB_2531_INSPECTIONS_LICENSING_AND_PERMITS,11078,
WOUND,11035,
WB_697_SOCIAL_PROTECTION_AND_LABOR,10807,
REBELLION,10780,
SOC_INNOVATION,10677,
WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS,10664,
TAX_ETHNICITY_ASIAN,10571,
IDEOLOGY,10405,
PROTEST,10366,FreeSpeech
UNGP_POLITICAL_FREEDOMS,10348,FreeSpeech
WB_825_TOURISM,10309,
WB_695_POVERTY,10280,
RELIGION,10262,
SOC_POINTSOFINTEREST_HOSPITAL,10257,
TAX_FNCACT_CITIZENS,10249,
TAX_WORLDMAMMALS_HUMANS,10058,
TAX_FNCACT_REPRESENTATIVE,10037,
TAX_FNCACT_CRIMINAL,9984,
TAX_POLITICAL_PARTY_COMMUNIST_PARTY,9949,
CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE,9932,
WB_1777_FORESTS,9907,
CONSTITUTIONAL,9892,
TAX_FNCACT_OFFICER,9718,
WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,9712,
TAX_ETHNICITY_THAI,9658,
TAX_ETHNICITY_BLACK,9577,
EPU_POLICY_REFORM,9365,
TAX_FOODSTAPLES_RICE,9253,
WB_2471_PEACEKEEPING,9162,
SOC_POINTSOFINTEREST_COLLEGE,9128,Schooling
TAX_FNCACT_VICTIMS,9127,
CRISISLEX_C04_LOGISTICS_TRANSPORT,8999,
CRIME_ILLEGAL_DRUGS,8985,Drugs
WB_2507_HUMAN_RIGHTS_ABUSES_AND_VIOLATIONS,8925,HumanRights
WB_2689_JOBS_DIAGNOSTICS,8857,
USPEC_UNCERTAINTY1,8783,
TAX_FNCACT_OFFICERS,8666,
WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY,8636,
TAX_WORLDLANGUAGES_RUSSIAN,8623,
TAX_ETHNICITY_RUSSIAN,8594,
TAX_ETHNICITY_LAOS,8534,
TAX_WORLDLANGUAGES_ENGLISH,8479,
TAX_ETHNICITY_ENGLISH,8409,
DISPLACED,8389,
TAX_FNCACT_SPOKESPERSON,8380,
ENV_METALS,8367,
NATURAL_DISASTER_FLOODS,8356,
WB_2473_DIPLOMACY_AND_NEGOTIATIONS,8302,
TAX_WORLDMAMMALS_CATS,8299,
WB_1467_EDUCATION_FOR_ALL,8283,Schooling
WB_723_PUBLIC_ADMINISTRATION,8276,
MEDIA_SOCIAL,8266,FreeSpeech
WB_1979_NATURAL_RESOURCE_MANAGEMENT,8054,
TAX_FNCACT_WOMAN,8034,Gender_Inequality
TAX_FNCACT_LEADERS,7951,
POVERTY,7934,
URBAN,7898,
TAX_WORLDLANGUAGES_CHIPPEWA,7780,
WB_738_SOCIAL_COHESION,7726,
WB_1986_MOUNTAINS,7705,
WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR,7698,
WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES,7662,
WB_167_PORTS,7620,
TAX_ETHNICITY_MUSLIM,7529,
TAX_RELIGION_MUSLIM,7449,
TAX_MILITARY_TITLE_OFFICER,7426,
CEASEFIRE,7354,
WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET,7343,Schooling
TAX_FNCACT_HERO,7323,
TAX_WORLDREPTILES_SNAKE,7236,
WB_328_FINANCIAL_INTEGRITY,7198,
TAX_FNCACT_TOURISTS,7174,
TAX_POLITICAL_PARTY_HAMAS,7161,
TAX_FNCACT_VICTIM,7150,
TAX_TERROR_GROUP_HAMAS,7124,
WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS,7076,
TAX_FNCACT_TEACHER,7067,
WB_1466_SOCIAL_ASSISTANCE,7060,
IMMIGRATION,7049,
TAX_FNCACT_CANDIDATES,7037,
TAX_WORLDMAMMALS_CAT,7021,
PUBLIC_TRANSPORT,6981,
EPU_CATS_TAXES,6954,
WB_2165_HEALTH_EMERGENCIES,6797,
ENV_MINING,6753,
KIDNAP,6722,
SELF_IDENTIFIED_ATROCITY,6681,
WB_2769_JOBS_STRATEGIES,6663,
TAX_FNCACT_AUTHOR,6644,
CRISISLEX_C06_WATER_SANITATION,6583,
WB_2082_LAW_ENFORCEMENT,6554,
WB_1804_AIRPORTS,6510,
UNGP_HEALTHCARE,6499,
ECON_TAXATION,6473,
EPU_POLICY_TAX,6416,
SOC_POINTSOFINTEREST_AIRPORT,6377,
TAX_FNCACT_EXECUTIVE,6356,
TAX_ETHNICITY_SOVIET,6314,
ENV_OIL,6287,
TAX_WORLDREPTILES_SNAKES,6182,
WB_1281_MANUFACTURING,6153,
SLFID_RULE_OF_LAW,6151,
TAX_RELIGION_CHURCH,6126,
WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,6112,
SOC_POINTSOFINTEREST_HEADQUARTERS,6077,
WB_845_LEGAL_AND_REGULATORY_FRAMEWORK,6062,
GEN_HOLIDAY,6018,
WB_2836_MIGRATION_POLICIES_AND_JOBS,5996,
WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE,5932,
WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,5930,
WB_2167_PANDEMICS,5930,
UNGP_FREEDOM_FROM_DISCRIMINATION,5926,
CRISISLEX_T04_INFRASTRUCTURE,5900,
NATURAL_DISASTER_TYPHOON,5831,
RURAL,5819,
TAX_WORLDLANGUAGES_ZEDONG,5817,
DELAY,5805,
ECON_STOCKMARKET,5792,
REBELS,5753,
TAX_TERROR_GROUP_LIBERATION_ARMY,5726,
TAX_FNCACT_GUARD,5685,
DISCRIMINATION,5647,
TAX_FNCACT_COMMANDER,5640,
TAX_FNCACT_VILLAGERS,5630,
UNREST_BELLIGERENT,5615,
BAN,5578,
TAX_MILITARY_TITLE_COMMANDER,5538,
TAX_MILITARY_TITLE_OFFICERS,5478,
WB_843_DISPUTE_RESOLUTION,5437,
WB_936_ALTERNATIVE_DISPUTE_RESOLUTION,5433,
WB_2748_EMPLOYMENT,5425,
WB_1609_FOOD_AND_IN_KIND_TRANSFERS,5360,
TAX_RELIGION_BUDDHIST,5349,
TAX_ETHNICITY_BUDDHIST,5348,
TRAFFIC,5253,
WB_739_POLITICAL_VIOLENCE_AND_CIVIL_WAR,5239,
TAX_FNCACT_EMPLOYEES,5226,
SANCTIONS,5164,
TAX_FNCACT_PROFESSOR,5133,
TAX_WEAPONS_GUN,5122,
ORGANIZED_CRIME,5081,
TAX_FNCACT_FARMERS,5062,
WB_2448_MILITIA,5044,
NEGOTIATIONS,5017,
UNGP_CLIMATE_CHANGE_ACTION,4957,
WB_1618_FOOD_DISTRIBUTION,4952,
TAX_FNCACT_ACTOR,4944,
WB_1620_ELDERLY,4911,
SLFID_DICTATORSHIP,4910,
ENV_CLIMATECHANGE,4902,
EPU_POLICY_CONGRESS,4883,
EPU_CATS_REGULATION,4879,
TAX_WORLDLANGUAGES_FRENCH,4852,
WB_421_SOCIAL_INCLUSION,4837,
TAX_FNCACT_IMMIGRANTS,4831,
WB_166_RAILWAYS,4819,
WB_567_CLIMATE_CHANGE,4799,
TAX_ETHNICITY_FRENCH,4791,
RECRUITMENT,4763,
TAX_WORLDFISH_FISH,4743,
APPOINTMENT,4698,
WB_855_LABOR_MARKETS,4693,
WB_1428_INJURY,4633,
TAX_WORLDLANGUAGES_KACHIN,4628,
TAX_ETHNICITY_KACHIN,4623,
TAX_WORLDMAMMALS_BEAR,4623,
WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,4607,
TAX_ETHNICITY_PALESTINIAN,4544,
SOC_POINTSOFINTEREST_SCHOOLS,4525,Schooling
CRISISLEX_O02_RESPONSEAGENCIESATCRISIS,4505,
TAX_FNCACT_FOREIGN_MINISTER,4452,
WB_933_ETHNIC_RELIGIOUS_AND_OTHER_MINORITIES,4366,
TAX_WEAPONS_FIREARMS,4322,
TAX_FNCACT_NAVY,4276,
CRISISLEX_C05_NEED_OF_SHELTERS,4225,
WB_1967_AGRICULTURAL_RISK_AND_SECURITY,4200,
WB_939_NEGOTIATION,4159,
WB_1462_WATER_SANITATION_AND_HYGIENE,4092,
TAX_FNCACT_AMBASSADOR,4088,
EPU_POLICY_WHITE_HOUSE,4085,
TAX_FNCACT_JUDGE,4063,
WB_2937_SILVER,4056,
TAX_FNCACT_STUDENT,3977,Schooling
TAX_FNCACT_SPOKESMAN,3948,
TAX_FNCACT_QUEEN,3920,
ECON_WORLDCURRENCIES_YUAN,3881,
TAX_WEAPONS_ARTILLERY,3874,
TAX_FNCACT_MANAGER,3862,
NATURAL_DISASTER_FLOOD,3838,
WB_962_INTERNATIONAL_LAW,3810,
TAX_WORLDLANGUAGES_KOREAN,3795,
TAX_ETHNICITY_KOREAN,3793,
TAX_FNCACT_WRITER,3743,
WB_2509_GENOCIDE,3723,
TAX_ETHNICITY_AMERICANS,3717,
WB_164_MODES_OF_TRANSPORT,3675,
TAX_RELIGION_BUDDHISM,3657,
WB_658_ENTERPRISE_APPLICATIONS,3594,
WB_652_ICT_APPLICATIONS,3594,
SEIGE,3578,
WB_2452_GANGS,3557,
SELF_IDENTIFIED_HUMANITARIAN_CRISIS,3556,HumanRights
WB_2840_INTEGRATION,3553,
DRONES,3540,
AID_HUMANITARIAN,3530,HumanRights
WB_165_AIR_TRANSPORT,3512,
WB_168_ROADS_AND_HIGHWAYS,3512,
WB_1809_HIGHWAYS,3498,
TAX_FNCACT_BOSS,3483,
WB_662_SOCIAL_MEDIA,3481,FreeSpeech
SOC_POINTSOFINTEREST_HIGH_SCHOOL,3480,
NATURAL_DISASTER_ICE,3477,
SOC_POINTSOFINTEREST_JAIL,3452,
TAX_FNCACT_ARTIST,3447,
TAX_FNCACT_FOUNDER,3441,
TAX_WORLDMAMMALS_DOG,3433,
TAX_FNCACT_MAYOR,3422,
TAX_WORLDLANGUAGES_SPANISH,3416,
TAX_FNCACT_CRIMINALS,3415,
TAX_ETHNICITY_SPANISH,3413,
TAX_WORLDMAMMALS_DOGS,3408,
EPU_CATS_MONETARY_POLICY,3394,
TAX_FOODSTAPLES_MEAT,3392,
TAX_FNCACT_REPRESENTATIVES,3330,
ECON_ENTREPRENEURSHIP,3323,
SOVEREIGNTY,3311,
WB_2931_IRON,3280,
TAX_WORLDLANGUAGES_BRUNEI,3273,
EPU_POLICY_BUDGET,3260,
FOOD_SECURITY,3247,
PERSECUTION,3243,
TAX_ETHNICITY_GERMAN,3218,
TAX_FNCACT_TOURIST,3206,
TAX_WORLDLANGUAGES_GERMAN,3200,
WB_1973_FINANCIAL_RISK_REDUCTION,3186,
WB_337_INSURANCE,3180,
TAX_FNCACT_GUIDE,3180,
TAX_WEAPONS_BOMBS,3176,
TAX_FNCACT_AGENTS,3167,
WATER_SECURITY,3128,
TAKE_OFFICE,3123,
TAX_FNCACT_JOURNALIST,3117,
WB_699_URBAN_DEVELOPMENT,3099,
TAX_FNCACT_DOCTOR,3084,
SMUGGLING,3073,
WB_471_ECONOMIC_GROWTH,3070,
TAX_FNCACT_LAWYER,3069,
TAX_FNCACT_ATTORNEY,3056,
TAX_WORLDLANGUAGES_ITALIAN,2996,
TAX_ETHNICITY_ITALIAN,2984,
TAX_FNCACT_CITIZEN,2968,
TAX_FNCACT_SCHOLARS,2954,Schooling
TAX_FNCACT_SECRETARY_OF_STATE,2903,
WB_1160_SHOCKS_AND_VULNERABILITY,2890,
TAX_TERROR_GROUP_HEZBOLLAH,2876,
TAX_POLITICAL_PARTY_HEZBOLLAH,2876,
TAX_FNCACT_PROSECUTOR,2875,
WB_644_NUTRITION,2875,
WB_2512_TORTURE,2871,
SHORTAGE,2869,
TAX_FNCACT_EMPEROR,2862,
TORTURE,2857,
TAX_ETHNICITY_MUSLIMS,2853,
TAX_RELIGION_MUSLIMS,2843,
NATURAL_DISASTER_FLOODING,2829,
TAX_FNCACT_VETERANS,2823,
WB_2467_TERRORISM,2821,
TRANSPARENCY,2816,
WB_2026_PREVENTION,2808,
WB_793_TRANSPORT_AND_LOGISTICS_SERVICES,2783,
CRIME_CARTELS,2782,
TAX_WORLDMAMMALS_DRILL,2781,
TAX_FNCACT_POPE,2767,
WB_1174_WAREHOUSING_AND_STORAGE,2762,
TAX_FNCACT_GENERALS,2755,
SOC_POINTSOFINTEREST_UNIVERSITIES,2754,
TAX_FNCACT_COMMISSIONER,2748,
CRISISLEX_T09_DISPLACEDRELOCATEDEVACUATED,2738,
TAX_FNCACT_CHEF,2729,
EXTREMISM,2701,
POLITICAL_PRISONER,2700,
TAX_DISEASE_DISEASE,2681,
TAX_ETHNICITY_POLE,2659,
TAX_DISEASE_OUTBREAK,2649,
TAX_ETHNICITY_CHRISTIAN,2641,
TAX_FNCACT_CONDUCTOR,2639,
TAX_TERROR_GROUP_NATIONAL_LIBERATION_ARMY,2625,
TAX_FNCACT_WARRIOR,2623,
TAX_RELIGION_CHRISTIAN,2617,
TAX_FNCACT_POLITICIANS,2595,
RELEASE_HOSTAGE,2588,
TAX_ETHNICITY_ARAB,2586,
TAX_FNCACT_CAPTAIN,2574,
WB_2690_CATEGORIES_OF_EMPLOYMENT,2534,
EVACUATION,2533,
SOC_POINTSOFINTEREST_POLICE_STATION,2530,
WB_1949_CLIMATE_SMART_AGRICULTURE,2522,
TAX_FNCACT_ANALYSTS,2516,
TAX_ETHNICITY_PALESTINIANS,2509,
EPU_POLICY_INTEREST_RATES,2501,
ECON_INTEREST_RATES,2495,
TAX_ETHNICITY_AUSTRALIAN,2474,
TAX_FNCACT_PRINCIPAL,2464,
TAX_MILITARY_TITLE_CAPTAIN,2462,
ECON_HOUSING_PRICES,2456,
TAX_WORLDLANGUAGES_MAUNG,2449,
UNREST_CRACKDOWN,2445,
TAX_FNCACT_WORKER,2430,
RAPE,2422,Gender_Inequality
TAX_TERROR_GROUP_PEOPLES_LIBERATION_ARMY,2418,
WB_2837_IMMIGRATION,2416,
EPU_POLICY_LEGISLATION,2416,
TAX_FNCACT_POLITICIAN,2412,
TAX_WORLDMAMMALS_TIGERS,2409,
TAX_FNCACT_ACTIVISTS,2397,
TAX_POLITICAL_PARTY_COMMUNIST_PARTY_OF_CHINA,2395,
WB_2934_COPPER,2395,
HUMAN_RIGHTS_ABUSES_TORTURE,2392,HumanRights
ECON_INFLATION,2368,
TAX_WORLDMAMMALS_TIGER,2347,
RETIREMENT,2342,
WB_442_INFLATION,2342,
ETH_INDIGINOUS,2325,
TAX_FNCACT_PRINCE,2322,
TAX_POLITICAL_PARTY_PAKISTAN_TEHREEKE_INSAF,2307,
SLFID_ECONOMIC_DEVELOPMENTAID,2307,
INSURGENCY,2294,
TAX_WEAPONS_BOMB,2271,
TAX_WORLDLANGUAGES_LATIN,2268,
WB_450_DEBT,2266,
TAX_ETHNICITY_INDONESIAN,2258,
TAX_WORLDLANGUAGES_INDONESIAN,2258,
WB_742_YOUTH_AND_GENDER_BASED_VIOLENCE,2251,Gender_Inequality
TAX_ETHNICITY_NAGA,2249,
TAX_WEAPONS_FIREARM,2249,
WB_670_ICT_SECURITY,2239,
WB_667_ICT_INFRASTRUCTURE,2231,
SOC_EXPRESSREGRET,2214,
UNGP_AFFORDABLE_NUTRITIOUS_FOOD,2198,
TAX_FNCACT_ASSISTANT,2196,
TAX_POLITICAL_PARTY_COMMUNISTS,2195,
TAX_ETHNICITY_VIETNAMESE,2187,
TAX_WORLDLANGUAGES_VIETNAMESE,2185,
TAX_FNCACT_COMMUNISTS,2184,
TAX_FNCACT_SPECIALIST,2179,
TAX_FNCACT_PILOT,2178,
WB_2480_POST_CONFLICT_RECONSTRUCTION,2165,
POLITICAL_TURMOIL,2157,
TAX_DISEASE_FLU,2140,
TAX_FNCACT_EDITOR,2133,
ECON_DEBT,2132,
SOC_POINTSOFINTEREST_COLLEGES,2123,
WB_2468_CONVENTIONAL_WAR,2112,
NATURAL_DISASTER_EARTHQUAKE,2110,
TAX_FNCACT_COLONEL,2107,
TAX_FNCACT_CEO,2097,
WB_2488_POPULATION_RESETTLEMENT,2096,
WB_2935_NICKEL,2095,
TAX_RELIGION_ISLAMIC,2085,
NATURAL_DISASTER_FLOODED,2084,
TAX_DISEASE_GAMBLING,2077,
NATURAL_DISASTER_LANDSLIDES,2070,
TAX_RELIGION_CHRISTIANS,2066,
TAX_RELIGION_CATHOLIC,2039,
TAX_DISEASE_CANCER,2034,
TAX_MILITARY_TITLE_COLONEL,2030,
TAX_FNCACT_SOLDIER,2030,
SOC_FASCISM,2026,
TAX_FNCACT_GOVERNOR,2024,
EXILE,2018,
TAX_FNCACT_RESEARCHER,2010,
WB_1431_CANCER,2010,
WB_1078_DETERMINANTS_OF_GROWTH,1998,
TAX_FNCACT_SPY,1994,
TAX_FNCACT_MINISTERS,1987,
TAX_FNCACT_DRIVER,1982,
TAX_WORLDLANGUAGES_NEPALI,1979,
TAX_ETHNICITY_INDIGENOUS,1979,
TAX_FNCACT_VOLUNTEERS,1975,
TAX_ETHNICITY_NEPALI,1973,
HUMAN_TRAFFICKING,1958,HumanRights
TAX_MILITARY_TITLE_SOLDIER,1958,
RESIGNATION,1957,
TAX_FNCACT_SUPPORTERS,1952,
WB_1441_SUPPLEMENTS,1927,
HEALTH_PANDEMIC,1911,
TAX_FNCACT_HUNTERS,1901,
TAX_FNCACT_ENVOY,1893,
TAX_WORLDCRUSTACEANS_SHRIMP,1875,
TAX_WORLDMAMMALS_SEAL,1866,
CRISISLEX_T06_SUPPLIES,1861,
TAX_FNCACT_SINGER,1856,
TAX_WORLDMAMMALS_LION,1854,
BLOCKADE,1852,
TAX_ETHNICITY_CHRISTIANS,1847,
WB_525_RENEWABLE_ENERGY,1838,
TAX_FNCACT_PRINCESS,1831,
TAX_POLITICAL_PARTY_REPUBLICAN,1821,
UNGP_JOB_OPPORTUNITIES_EMPLOYMENT,1817,
TAX_FNCACT_ARTISTS,1806,
WB_2510_WAR_CRIMES,1794,
TAX_WORLDLANGUAGES_UKRAINIAN,1791,
PROPAGANDA,1785,
TAX_ETHNICITY_UKRAINIAN,1783,
TAX_POLITICAL_PARTY_NATIONAL_DEMOCRATIC_ALLIANCE,1774,
TAX_RELIGION_HINDU,1774,
TAX_FNCACT_PONTIFF,1772,
TAX_FOODSTAPLES_EGGS,1772,
TAX_FNCACT_ACTRESS,1770,
TAX_ETHNICITY_HINDU,1766,
TAX_FNCACT_VETERAN,1759,
CRIME_COMMON_ROBBERY,1759,
TAX_ETHNICITY_MIZO,1757,
EPU_CATS_HEALTHCARE,1757,
SOC_USSECURITYAGENCIES,1752,
TAX_FNCACT_BABY,1745,
STRIKE,1737,
GOV_LOCALGOV,1728,
SOC_POINTSOFINTEREST_HOSPITALS,1726,
INFO_RUMOR,1723,
TAX_FNCACT_ESCORT,1718,
UNREST_CHECKPOINT,1714,
TAX_FNCACT_ACTIVIST,1710,
CHECKPOINT,1698,
WB_177_ANIMAL_PRODUCTION,1688,
WB_1024_PUBLIC_INTERNATIONAL_LAW,1687,
TAX_FNCACT_PRIEST,1686,
TAX_FNCACT_ANALYST,1670,
TAX_FNCACT_POET,1667,
TAX_FNCACT_PRODUCER,1667,
WB_1608_CASH_TRANSFERS,1665,
WB_1673_PASSIVE_LABOR_MARKETS_POLICIES,1657,
WB_1654_ACTIVE_LABOR_MARKET_POLICIES,1651,
WB_1026_TREATIES,1649,
DISASTER_FIRE,1647,
WB_1464_HEALTH_OF_THE_DISABLED,1646,
WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS,1645,
CONFISCATION,1641,
WB_856_WAGES,1626,
WB_615_GENDER,1611,Gender_Inequality
TAX_ETHNICITY_CANADIAN,1604,
DEATH_PENALTY,1601,
EPU_UNCERTAINTY,1598,
WB_548_PPP_IN_OIL_AND_GAS,1597,
UNGP_EDUCATION,1594,Schooling
TAX_FNCACT_AGENT,1592,
TAX_DISEASE_STROKE,1592,
DISABILITY,1591,
WB_1603_FEE_WAIVERS,1588,
TAX_FNCACT_LADY,1585,Gender_Inequality
TAX_WORLDBIRDS_MAO,1585,
TAX_WORLDMAMMALS_DEER,1580,
NATURAL_DISASTER_MONSOON,1564,
WB_1606_SCHOLARSHIPS,1558,Schooling
SOC_SLAVERY,1557,
RETALIATE,1557,
TAX_FNCACT_COOK,1539,
TAX_FNCACT_VICE_PRESIDENT,1535,
WB_1675_GRADUATION,1532,
GENDER_VIOLENCE,1518,Gender_Inequality
TAX_FNCACT_DIRECTORS,1514,
TAX_FNCACT_JUDGES,1509,
WB_1448_DEMOGRAPHIC_CHANGE,1503,
TAX_FNCACT_USHER,1503,
ENV_GREEN,1502,
MEDIA_CENSORSHIP,1494,
WB_1497_EDUCATION_MANAGEMENT_AND_ADMINISTRATION,1491,Schooling
WB_2665_REFUGEE_RESETTLEMENT,1486,
WB_2329_ACCESS_AND_CONNECTIVITY,1475,
TAX_DISEASE_DISEASES,1475,
WB_2120_SATELLITES,1473,
ENV_SOLAR,1462,
TAX_FNCACT_SPEAKER,1458,
TAX_WORLDLANGUAGES_ARABIC,1457,
TAX_WEAPONS_GUNS,1454,
GOV_REPATRIATION,1449,
SOC_REFUGEECAMP,1445,
WB_2299_PIPELINES,1444,
SURVEILLANCE,1443,
NATURAL_DISASTER_TSUNAMI,1440,
TAX_FNCACT_MONK,1435,
WB_332_CAPITAL_MARKETS,1435,
