theme,count,indicator
WB_739_POLITICAL_VIOLENCE_AND_CIVIL_WAR,12010,
TAX_FNCACT_DOCTORS,11981,
TAX_FNCACT_CAPTAIN,11979,
SOC_POINTSOFINTEREST_HEADQUARTERS,11928,
TAX_FNCACT_JUDGE,11779,
TAX_MILITARY_TITLE_CAPTAIN,11670,
STRIKE,11659,
TAX_FNCACT_REPRESENTATIVE,11645,
TAX_RELIGION_CHURCH,11617,
CRISISLEX_C06_WATER_SANITATION,11612,
TAX_DISEASE_DISEASE,11434,
WB_825_TOURISM,11364,
WB_1428_INJURY,11352,
WB_2473_DIPLOMACY_AND_NEGOTIATIONS,11323,
WB_699_URBAN_DEVELOPMENT,11074,
TAX_WORLDMAMMALS_DRILL,10976,
WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS,10925,
TAX_WORLDLANGUAGES_ENGLISH,10893,
TAX_ETHNICITY_ENGLISH,10874,
TAX_AIDGROUPS_HUMAN_RIGHTS_WATCH,10831,HumanRights
ECON_WORLDCURRENCIES_DOLLARS,10712,
TAX_WORLDLANGUAGES_KOREAN,10610,
TAX_ETHNICITY_KOREAN,10610,
WB_2512_TORTURE,10595,
TORTURE,10566,
WB_2836_MIGRATION_POLICIES_AND_JOBS,10543,
CRIME_ILLEGAL_DRUGS,10431,Drugs
TAX_FNCACT_VETERAN,10288,
TAX_FNCACT_NAVY,10283,
TAX_FNCACT_CANDIDATES,10275,
NATURAL_DISASTER_LANDSLIDE,10178,
TAX_FNCACT_MILITARY_LEADERS,10141,
TAX_WEAPONS_RUBBER_BULLETS,10073,
POVERTY,10023,
TAX_FNCACT_POLITICIANS,9956,
WB_843_DISPUTE_RESOLUTION,9910,
WB_2480_POST_CONFLICT_RECONSTRUCTION,9908,
WB_845_LEGAL_AND_REGULATORY_FRAMEWORK,9892,
AID_HUMANITARIAN,9891,HumanRights
WB_936_ALTERNATIVE_DISPUTE_RESOLUTION,9887,
GEN_HOLIDAY,9706,
SELF_IDENTIFIED_HUMANITARIAN_CRISIS,9685,HumanRights
WB_590_ECOSYSTEMS,9641,
RAPE,9640,Gender_Inequality
WB_2488_POPULATION_RESETTLEMENT,9590,
TAX_ETHNICITY_FRENCH,9536,
TAX_WORLDLANGUAGES_FRENCH,9530,
TAX_FNCACT_DOCTOR,9523,
WB_471_ECONOMIC_GROWTH,9484,
TAX_MILITARY_TITLE_SENIOR_GENERAL,9409,
TAX_FNCACT_ANALYSTS,9386,
CRISISLEX_T09_DISPLACEDRELOCATEDEVACUATED,9354,
SOC_QUARANTINE,9248,
EPU_POLICY_CONGRESS,9145,
PERSECUTION,8919,
DISASTER_FIRE,8910,
WB_855_LABOR_MARKETS,8860,
GOV_REPATRIATION,8831,
SHORTAGE,8830,
TAX_FNCACT_DIPLOMATS,8830,
EPU_POLICY_WHITE_HOUSE,8798,
TAX_TERROR_GROUP_LIBERATION_ARMY,8706,
WB_1979_NATURAL_RESOURCE_MANAGEMENT,8684,
TAX_FNCACT_PROFESSOR,8667,
WB_168_ROADS_AND_HIGHWAYS,8637,
TAX_AIDGROUPS_ASSOCIATION_OF_SOUTHEAST_ASIAN_NATIONS,8623,
TAX_FNCACT_KING,8611,
TAX_WEAPONS_BOMB,8488,
TAX_RELIGION_ISLAMIC,8458,
WB_939_NEGOTIATION,8444,
WB_1809_HIGHWAYS,8426,
TAX_FNCACT_VICE_PRESIDENT,8418,
WB_2837_IMMIGRATION,8407,
TAX_FNCACT_CEO,8396,
TAX_FNCACT_COUNSELLOR,8374,
EPU_CATS_HEALTHCARE,8274,
TAX_FNCACT_ANALYST,8258,
TAX_WEAPONS_BOMBS,8257,
CURFEW,8251,
WB_2510_WAR_CRIMES,8246,
EPU_CATS_TAXES,8243,
TAX_WORLDLANGUAGES_KAYAH,8197,
TAX_FNCACT_EDITOR,8191,
TAX_FNCACT_VICTIM,8184,
WB_1777_FORESTS,8127,
TAX_WORLDLANGUAGES_INDONESIAN,8124,
TAX_ETHNICITY_INDONESIAN,8120,
SOC_POINTSOFINTEREST_COLLEGE,7956,Schooling
SOC_REFUGEECAMP,7936,
SLFID_RULE_OF_LAW,7900,
WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,7886,
TAX_TERROR_GROUP_KAREN_NATIONAL_UNION,7872,
HUMAN_RIGHTS_ABUSES_TORTURE,7797,HumanRights
SOC_POINTSOFINTEREST_POLICE_STATION,7785,
WB_1986_MOUNTAINS,7778,
WB_2665_REFUGEE_RESETTLEMENT,7748,
SEIGE,7713,
TAX_FNCACT_SECRETARY_OF_STATE,7712,
SOC_USSECURITYAGENCIES,7696,
TAX_FNCACT_MANAGER,7643,
TAX_FNCACT_REPORTER,7641,
TAX_AIDGROUPS_AMNESTY_INTERNATIONAL,7628,
ACT_MAKESTATEMENT,7600,
TAX_FNCACT_ATTORNEY,7597,
TAX_FNCACT_SOLDIER,7589,
TAX_TERROR_GROUP_NATIONAL_LIBERATION_ARMY,7574,
TAX_ETHNICITY_CANADIAN,7525,
TAX_ETHNICITY_ROHINGYAS,7512,
TAX_FNCACT_GOVERNOR,7491,
WB_1466_SOCIAL_ASSISTANCE,7451,
WB_2690_CATEGORIES_OF_EMPLOYMENT,7387,
TAX_ETHNICITY_ARAB,7354,
EVACUATION,7332,
TAX_FNCACT_TEACHER,7284,
TAX_ETHNICITY_CHRISTIAN,7280,
TAX_ETHNICITY_AMERICANS,7264,
TAX_FNCACT_INSURGENTS,7260,
TAX_RELIGION_CHRISTIAN,7258,
TAX_ETHNICITY_LAOS,7220,
EPU_CATS_MONETARY_POLICY,7214,
TREASON,7198,
WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,7162,
TAX_ETHNICITY_GERMAN,7152,
TAX_WORLDLANGUAGES_GERMAN,7139,
DRONES,7054,
TAX_FNCACT_VETERANS,7018,
TAX_FNCACT_CITIZEN,6975,
WB_164_MODES_OF_TRANSPORT,6934,
TAX_FNCACT_SERVANTS,6873,
WB_2513_CRIMES_AGAINST_HUMANITY,6850,HumanRights
WB_318_FINANCIAL_ARCHITECTURE_AND_BANKING,6768,
GOV_LOCALGOV,6763,
TAX_FNCACT_AGENTS,6735,
TAX_MILITARY_TITLE_SOLDIER,6735,
WB_1967_AGRICULTURAL_RISK_AND_SECURITY,6712,
TAX_FNCACT_LAWMAKER,6640,
TAX_WORLDFISH_FISH,6608,
WB_1234_BANKING_INSTITUTIONS,6606,
RECRUITMENT,6553,
ECON_TAXATION,6553,
TAX_FNCACT_TOURISTS,6482,
TAX_FNCACT_FARMERS,6464,
TAX_FNCACT_CIVIL_SERVANTS,6440,
KIDNAP,6433,
TAX_FNCACT_PROSECUTORS,6412,
WB_1078_DETERMINANTS_OF_GROWTH,6392,
TAX_FNCACT_ADVISER,6387,
EPU_POLICY_TAX,6385,
WB_165_AIR_TRANSPORT,6377,
WB_713_PUBLIC_FINANCE,6356,
TAX_RELIGION_CATHOLIC,6354,
SOC_PARDON,6341,
TRAFFIC,6292,
TAX_FNCACT_QUEEN,6259,
TAX_FNCACT_COMMISSIONER,6256,
WB_962_INTERNATIONAL_LAW,6254,
TAX_FNCACT_DIPLOMAT,6239,
WB_2026_PREVENTION,6220,
SOC_INNOVATION,6177,
EXTREMISM,6166,
TAX_FNCACT_COUNSELOR,6127,
WB_2467_TERRORISM,6113,
WB_1324_EMERGENCY_MEDICAL_SERVICES,6110,
TAX_WORLDLANGUAGES_BRUNEI,6072,
TAX_FNCACT_DRIVER,6069,
TAX_FNCACT_CHEF,6068,
TAX_FNCACT_COLONEL,6066,
WB_1281_MANUFACTURING,6013,
UNGP_CLIMATE_CHANGE_ACTION,6012,
TAX_FNCACT_SINGER,6007,
TAX_FNCACT_EMPLOYEE,5983,
HUMAN_RIGHTS_ABUSES_HUMAN_RIGHTS_ABUSES,5957,HumanRights
ENV_CLIMATECHANGE,5941,
WB_328_FINANCIAL_INTEGRITY,5917,
EPU_POLICY_REFORM,5899,
ECON_HOUSING_PRICES,5898,
TAX_FNCACT_MONK,5853,
WB_567_CLIMATE_CHANGE,5852,
WB_742_YOUTH_AND_GENDER_BASED_VIOLENCE,5852,Gender_Inequality
TAX_RELIGION_CHURCHES,5826,
FREESPEECH,5801,FreeSpeech
TAX_MILITARY_TITLE_COLONEL,5785,
TAX_FNCACT_MAYOR,5785,
TAX_ETHNICITY_MIZO,5780,
WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE,5779,
RELEASE_HOSTAGE,5739,
TAX_FNCACT_VOLUNTEERS,5730,
TAX_FNCACT_POLICE_OFFICER,5700,
ECON_UNIONS,5693,
WB_772_TRADE_FACILITATION_AND_LOGISTICS,5682,
ECON_CENTRALBANK,5675,
WB_1045_TREASURY,5652,
EPU_POLICY_BUDGET,5621,
TAX_FNCACT_TOURIST,5618,
EPU_POLICY_CENTRAL_BANK,5611,
WB_1235_CENTRAL_BANKS,5600,
TAX_FNCACT_INSURGENT,5565,
SOC_POINTSOFINTEREST_REFUGEE_CAMPS,5546,
TAX_ETHNICITY_VIETNAMESE,5500,
TAX_WORLDLANGUAGES_VIETNAMESE,5496,
TAX_FNCACT_BABY,5472,
ETH_INDIGINOUS,5470,
TAX_ETHNICITY_ITALIAN,5441,
TAX_FNCACT_AUTHOR,5407,
EPU_POLICY_SPENDING,5398,
WB_2601_TRADE_LINKAGES_SPILLOVERS_AND_CONNECTIVITY,5373,
TAX_ETHNICITY_MOCHA,5352,
WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS,5347,
TAX_ETHNICITY_BANGLADESHI,5346,
TAX_WORLDLANGUAGES_ITALIAN,5310,
UNGP_JOB_OPPORTUNITIES_EMPLOYMENT,5285,
TAX_FNCACT_PILOT,5279,
WB_2725_CATEGORIES_OF_WORKERS,5277,
TAX_RELIGION_HINDU,5220,
TAX_ETHNICITY_HINDU,5219,
TAX_FNCACT_ARTIST,5214,
WB_2508_ETHNIC_CLEANSING,5209,
UNGP_PHONE_INTERNET_ACCESS_COST,5202,
SMUGGLING,5201,
WB_2519_RESPONSES_TO_HUMAN_RIGHTS_ABUSES,5196,HumanRights
WB_548_PPP_IN_OIL_AND_GAS,5163,
CYBER_ATTACK,5108,
TAX_ETHNICITY_INDIGENOUS,5107,
WB_797_NATIONAL_URBAN_POLICIES,5097,
WB_862_GROWTH_POLES_AND_ECONOMIC_ZONES,5085,
TAX_FNCACT_VILLAGER,5084,
WB_866_CONNECTIVITY_AND_LAGGING_REGIONS,5078,
ECON_BOYCOTT,5075,
WB_2082_LAW_ENFORCEMENT,5062,
ORGANIZED_CRIME,5058,
TAX_FNCACT_LIEUTENANT,5053,
NATURAL_DISASTER_ICE,5053,
WB_2937_SILVER,5031,
WB_2482_RECONCILIATION,4985,
SLFID_ECONOMIC_DEVELOPMENTAID,4983,
TAX_RELIGION_BUDDHIST_MONKS,4981,
JUSTICE,4981,
FOOD_SECURITY,4976,
TAX_FNCACT_HERO,4970,
WB_2729_MIGRANT_WORKERS,4967,
TAX_FNCACT_ADMINISTRATOR,4962,
TAX_FNCACT_CANDIDATE,4958,
EPU_POLICY_LEGISLATION,4935,
TAX_FNCACT_ACTOR,4923,
WB_1609_FOOD_AND_IN_KIND_TRANSFERS,4922,
TAX_MILITARY_TITLE_LIEUTENANT,4918,
SOC_POINTSOFINTEREST_HIGH_SCHOOL,4911,
UNREST_CHECKPOINT,4890,
TAX_FNCACT_FOUNDER,4888,
CHECKPOINT,4883,
NATURAL_DISASTER_FLOODING,4882,
TAX_DISEASE_INFECTION,4877,
WB_2329_ACCESS_AND_CONNECTIVITY,4857,
TAX_FNCACT_MIGRANT_WORKERS,4846,
WB_2120_SATELLITES,4839,
WB_1973_FINANCIAL_RISK_REDUCTION,4839,
TAX_FNCACT_FOREIGN_MINISTERS,4827,
SOC_SUICIDE,4823,
WB_337_INSURANCE,4808,
EPU_UNCERTAINTY,4774,
WB_1079_COMMODITIES_AND_RESOURCES,4769,
WATER_SECURITY,4769,
WB_2299_PIPELINES,4754,
TAX_WEAPONS_STUN_GRENADES,4740,
WB_450_DEBT,4726,
CONFISCATION,4707,
RETALIATE,4692,
TAX_DISEASE_GAMBLING,4620,
TAX_TERROR_GROUP_PEOPLE_DEFENSE_FORCE,4566,
WB_670_ICT_SECURITY,4545,
GENDER_VIOLENCE,4538,Gender_Inequality
NATURAL_DISASTER_FLOODS,4527,
TAX_POLITICAL_PARTY_DEMOCRATS,4509,
TAX_AIDGROUPS_RED_CROSS,4500,
TAX_RELIGION_MOSQUE,4488,
TAX_WEAPONS_FIREARMS,4486,
ECON_WORLDCURRENCIES_DOLLAR,4478,
RETIREMENT,4478,
TAX_FNCACT_VOLUNTEER,4469,
TAX_ETHNICITY_SPANISH,4468,
TAX_WORLDLANGUAGES_SPANISH,4449,
ECON_DEBT,4449,
TAX_FNCACT_WRITER,4447,
TAX_FNCACT_INVESTOR,4446,
TAX_FNCACT_POPE,4428,
SURVEILLANCE,4426,
TAX_FNCACT_COMMUNIST,4423,
DEATH_PENALTY,4419,
WB_1305_HEALTH_SERVICES_DELIVERY,4416,
TAX_WORLDMAMMALS_DOG,4415,
TAX_ETHNICITY_CZECH,4405,
LANDMINE,4391,
TAX_FNCACT_AGENT,4388,
WB_1618_FOOD_DISTRIBUTION,4380,
TAX_FNCACT_DRIVERS,4375,
TAX_FNCACT_CARDINAL,4372,
TAX_FNCACT_ARTISTS,4368,
TAX_FNCACT_POLITICIAN,4355,
WB_1462_WATER_SANITATION_AND_HYGIENE,4336,
TAX_WORLDLANGUAGES_CZECH,4324,
TAX_WORLDLANGUAGES_LATIN,4323,
TAX_RELIGION_BUDDHISM,4319,
EXILE,4315,
WB_2748_EMPLOYMENT,4302,
TAX_DISEASE_WOUNDS,4293,
WB_1415_COMMUNICABLE_DISEASE,4287,
CRISISLEX_T06_SUPPLIES,4283,
ENV_SOLAR,4282,
WB_1620_ELDERLY,4280,
TAX_WORLDLANGUAGES_CAMBODIAN,4274,
SLFID_NATURAL_RESOURCES,4259,
WB_820_DISASTER_RISK_MANAGEMENT,4255,
WB_1654_ACTIVE_LABOR_MARKET_POLICIES,4254,
TAX_FNCACT_BISHOP,4243,
CLOSURE,4229,
TAX_POLITICAL_PARTY_NATIONAL_DEMOCRATIC_ALLIANCE,4210,
TAX_WORLDCRUSTACEANS_CRAB,4210,
TAX_WORLDLANGUAGES_KAYIN,4198,
TAX_POLITICAL_PARTY_REPUBLICAN,4186,
HUMAN_RIGHTS_ABUSES_TORTURED,4184,HumanRights
TAX_FNCACT_PRODUCER,4183,
VETO,4162,FreeSpeech
WB_667_ICT_INFRASTRUCTURE,4149,
WB_1383_HEALTH_MANAGEMENT_AND_ADMINISTRATION,4115,
WB_856_WAGES,4102,
TAX_ETHNICITY_NAGA,4079,
